Feature,Mean_Abs_SHAP
orig_ltv,1.7122738
dpd_rolling_3m_max,1.3464497
dpd,1.1912761
remaining_months_to_maturity,1.0140411
borrower_credit_score,0.7911735
loan_age,0.66397905
orig_upb,0.4300567
dpd_rolling_6m_max,0.35749787
cum_delinquency_months,0.35513902
current_interest_rate,0.26841065
servicer_code,0.12547687
orig_interest_rate,0.05174605
hist_delinquent_flag,0.031670406
status_transitions,0.010204496
dti_band,0.0
ltv_band,0.0
credit_score_band,0.0
interest_rate_diff,0.0
dti,0.0
orig_loan_term,0.0
is_modified,0.0
max_hist_dpd,0.0
cum_modifications,0.0
vintage_year,0.0
missing_dti,0.0
missing_ltv,0.0
missing_credit,0.0
data_quality_score,0.0
risk_interaction_ltv_dti,0.0
risk_interaction_cs_ltv,0.0
