loan_id,origination_date,loan_amount,interest_rate,term_months,credit_score,dti,ltv,status,employment_length_years,annual_income,dq_score,prob_default,prob_delinquent,prob_prepaid,is_anomaly,exception_probability,exception_type
102458150755,2009-07-01,149475.35621694956,0.0369915769719183,360,754,0.29,0.71,Default,2,170114.94252873564,100.0,0.4861111144224803,0.2041798730691274,0.2437680413325627,0,0.33979235919011996,High variance in interest_rate
101812620634,2009-07-01,278622.8499323475,0.0472041393826568,360,737,0.4,0.89,Current,1,231666.66666666663,100.0,0.2464978098869323,0.2286243140697479,0.2760912775993347,0,0.23272600800365228,High variance in ltv
100829595540,2009-07-01,174549.93452852077,0.0565775188628384,360,666,0.32,0.8,Prepaid,5,182291.6666666667,100.0,0.2464978098869323,0.2286243140697479,0.2658633440732956,0,0.1128795457892342,High variance in credit_score
100050465903,2009-07-01,302055.0109449681,0.0554806038847049,360,710,0.54,0.74,Delinquent,2,382716.049382716,100.0,0.2464978098869323,0.2319576491912206,0.2711970110734303,0,0.20784709055794315,High variance in dti
100039488159,2009-07-01,154400.62497704622,0.0411697763589131,180,795,0.36,0.62,Default,5,143518.5185185185,100.0,0.4096405307451884,0.2111243158578872,0.2569341858228047,0,0.26846226585477106,High variance in term_months
102458150755,2009-07-01,149237.81631197347,0.0438987806974787,360,754,0.29,0.71,Current,2,170114.94252873564,100.0,0.2464978098869323,0.2111243158578872,0.2711970110734303,0,0.15129959299105755,High variance in interest_rate
102218329006,2009-07-01,100885.4601547474,0.0438915918806523,360,728,0.32,0.74,Current,2,105208.33333333334,100.0,0.2464978098869323,0.2041798730691274,0.2580308665831883,0,0.0006771023522554875,High variance in loan_amount
101812620634,2009-07-01,279353.8723741654,0.0521575034868631,360,737,0.4,0.89,Delinquent,1,231666.66666666663,100.0,0.1563017268975575,0.2339743574460347,0.2437680413325627,0,0.4108294426706883,High variance in ltv
100829595540,2009-07-01,173286.86547090914,0.0585522242307167,360,666,0.32,0.8,Default,5,182291.6666666667,90.0,0.4096405307451884,0.1549063672622045,0.2580308665831883,0,0.3137643441244522,High variance in credit_score
100050465903,2009-07-01,302055.0109449681,0.0495947172979586,360,710,0.54,0.74,Prepaid,2,382716.049382716,100.0,0.2464978098869323,0.2111243158578872,0.2580308665831883,0,0.4944407491853652,High variance in dti
100039488159,2009-07-01,156831.45876585436,0.0373662571208984,180,795,0.36,0.62,Default,5,143518.5185185185,100.0,0.4096405307451884,0.2111243158578872,0.2580308665831883,0,0.7297580927260132,High variance in term_months
102458150755,2009-07-01,148491.9191715065,0.0447884384358155,360,754,0.29,0.71,Prepaid,2,170114.94252873564,100.0,0.2464978098869323,0.2044073045253753,0.2580308665831883,0,0.06450662770134785,High variance in employment_length_years
102218329006,2009-07-01,100101.58532865164,0.0458980910956629,360,728,0.32,0.74,Default,2,105208.33333333334,100.0,0.4096405307451884,0.2041798730691274,0.2569341858228047,0,0.054822417600285944,High variance in loan_amount
101812620634,2009-07-01,277423.0963443376,0.04044519533242,360,737,0.4,0.89,Delinquent,1,231666.66666666663,90.0,0.2464978098869323,0.2319576491912206,0.2580308665831883,0,0.40670998496492006,High variance in ltv
100829595540,2009-07-01,175950.42383818605,0.0583991714427067,360,666,0.32,0.8,Delinquent,5,182291.6666666667,100.0,0.2464978098869323,0.2319576491912206,0.2580308665831883,0,0.16995831229188896,High variance in credit_score
100050465903,2009-07-01,302055.0109449681,0.0591696107727445,360,710,0.54,0.74,Prepaid,2,382716.049382716,100.0,0.2472108205159505,0.2286243190368016,0.3375180413325627,0,0.31583119956792016,High variance in dti
100039488159,2009-07-01,155150.3937864762,0.0491539036277731,180,795,0.36,0.62,Prepaid,5,143518.5185185185,100.0,0.2472108205159505,0.2286243140697479,0.3375180413325627,0,0.31582767265208433,High variance in term_months
102458150755,2009-07-01,147474.24497831924,0.0468029287264191,360,754,0.29,0.71,Prepaid,2,170114.94252873564,100.0,0.2464978098869323,0.2041798730691274,0.3698412775993347,0,0.1508977099938451,High variance in employment_length_years
102218329006,2009-07-01,99932.3795706174,0.0448606688581685,360,728,0.32,0.74,Current,2,105208.33333333334,100.0,0.1563017268975575,0.2198636978864669,0.2437680413325627,0,0.06338367570392656,High variance in loan_amount
102458150755,2009-07-01,147857.6205149787,0.0413562568916826,360,754,0.29,0.71,Default,2,170114.94252873564,100.0,0.4096405307451884,0.1245579868555069,0.2437680413325627,0,0.06455368204487166,High variance in interest_rate
100039488159,2009-07-01,155514.43883405876,0.0392769634889024,180,795,0.36,0.62,Delinquent,5,143518.5185185185,100.0,0.2464978098869323,0.2319576491912206,0.2437680413325627,0,0.2856907133133919,High variance in term_months
100050465903,2009-07-01,302055.0109449681,0.0540656417791932,360,710,0.54,0.74,Prepaid,2,382716.049382716,100.0,0.2464978098869323,0.2111243158578872,0.3125763237476349,0,0.24329853484198993,High variance in dti
100050465903,2009-07-01,302055.0109449681,0.054826575563066,360,710,0.54,0.74,Delinquent,2,382716.049382716,100.0,0.2464978098869323,0.2319576491912206,0.3125763237476349,0,0.19060760775789198,High variance in dti
100039488159,2009-07-01,155717.54225579597,0.0399110121744793,180,795,0.36,0.62,Prepaid,5,143518.5185185185,100.0,0.2464978098869323,0.2286243140697479,0.3253968308369319,0,0.31188310648064443,High variance in term_months
102458150755,2009-07-01,145960.7678222399,0.039156740267579,360,754,0.29,0.71,Delinquent,2,170114.94252873564,100.0,0.2464978098869323,0.4903846134742101,0.2316468308369318,0,0.340763160877274,High variance in interest_rate
102218329006,2009-07-01,99816.74148733422,0.0370277474448286,360,728,0.32,0.74,Current,2,105208.33333333334,100.0,0.2464978098869323,0.2286243140697479,0.2437680413325627,0,0.34945525307781355,High variance in interest_rate
101812620634,2009-07-01,276241.2605135769,0.0473410769556974,360,737,0.4,0.89,Delinquent,1,231666.66666666663,100.0,0.2464978098869323,0.2319576491912206,0.2711970110734303,0,0.4242574998552925,High variance in ltv
100829595540,2009-07-01,176058.42448684957,0.0566490659145207,360,666,0.32,0.8,Current,5,182291.6666666667,100.0,0.2464978098869323,0.2111243158578872,0.2316468308369318,0,0.20723210677780213,High variance in credit_score
100050465903,2009-07-01,302055.0109449681,0.0628978607286535,360,710,0.54,0.74,Current,2,382716.049382716,100.0,0.2464978098869323,0.230641022324562,0.2569341858228047,0,0.6967799517329712,High variance in dti
100039488159,2009-07-01,156368.63155753235,0.0510169223855885,180,795,0.36,0.62,Prepaid,5,143518.5185185185,100.0,0.1715914408365885,0.230641022324562,0.2580308665831883,0,0.5791689284742323,High variance in term_months
102218329006,2009-07-01,98876.1042756902,0.0456509892550298,360,728,0.32,0.74,Delinquent,2,105208.33333333334,100.0,0.2464978098869323,0.2319576491912206,0.2983134984970093,0,0.21511913710952035,High variance in loan_amount
102458150755,2009-07-01,148971.57095095437,0.0419358071978017,360,754,0.29,0.71,Prepaid,2,170114.94252873564,100.0,0.2464978098869323,0.1292735040187835,0.5587301651636759,0,0.10079236837362093,High variance in interest_rate
101812620634,2009-07-01,279755.3408424432,0.0557967372009279,360,737,0.4,0.89,Default,1,231666.66666666663,100.0,0.4096405307451884,0.2286243140697479,0.2437680413325627,0,0.6144506628641229,High variance in ltv
100829595540,2009-07-01,177060.747924882,0.0561635577494981,360,666,0.32,0.8,Default,5,182291.6666666667,100.0,0.4096405307451884,0.2041798730691274,0.2437680413325627,0,0.3121760575292719,High variance in credit_score
100050465903,2009-07-01,302055.0109449681,0.0554114199463771,360,710,0.54,0.74,Prepaid,2,382716.049382716,100.0,0.2464978098869323,0.2286243140697479,0.3506841858228047,0,0.20277146072247698,High variance in dti
100039488159,2009-07-01,155115.67463429287,0.0481981539781171,180,795,0.36,0.62,Delinquent,5,143518.5185185185,100.0,0.2464978098869323,0.3173076907793681,0.2580308665831883,0,0.2520496044274393,High variance in term_months
102458150755,2009-07-01,147251.51346344344,0.0363221981348151,360,754,0.29,0.71,Current,2,170114.94252873564,100.0,0.2464978098869323,0.2041798730691274,0.2580308665831883,0,0.2719800852866151,High variance in interest_rate
102218329006,2009-07-01,101332.3140119796,0.0489092226973431,360,728,0.32,0.74,Current,2,105208.33333333334,100.0,0.2464978098869323,0.2286243140697479,0.2580308665831883,0,0.07175871492068753,High variance in loan_amount
101812620634,2009-07-01,279277.6768218985,0.0497327738825578,360,737,0.4,0.89,Delinquent,1,231666.66666666663,100.0,0.2464978098869323,0.2319576491912206,0.2437680413325627,0,0.38553857661338087,High variance in ltv
100829595540,2009-07-01,173465.8858292644,0.0659848894217686,360,666,0.32,0.8,Current,5,182291.6666666667,100.0,0.2472108205159505,0.2286243140697479,0.2580308665831883,0,0.5236155796301816,High variance in interest_rate
102218329006,2009-07-01,100751.03585152092,0.0552444906180962,360,728,0.32,0.74,Delinquent,2,105208.33333333334,100.0,0.1563017268975575,0.2319576491912206,0.2437680413325627,0,0.2760821939442397,High variance in loan_amount
100829595540,2009-07-01,176628.6155455713,0.0665025024640703,360,666,0.32,0.8,Delinquent,5,182291.6666666667,100.0,0.3526841501394908,0.2319576491912206,0.1517045448223749,0,0.5629095048641888,High variance in interest_rate
101812620634,2009-07-01,277400.607354556,0.0420732782064494,360,737,0.4,0.89,Current,1,231666.66666666663,100.0,0.1563017268975575,0.2100850244363149,0.2903541028499603,0,0.3321555202672527,High variance in ltv
100050465903,2009-07-01,302055.0109449681,0.0546278328544997,360,710,0.54,0.74,Current,2,382716.049382716,100.0,0.2464978098869323,0.2286243140697479,0.3125763237476349,0,0.20232379302157,High variance in dti
100829595540,2009-07-01,174281.55577874757,0.0556924109850402,360,666,0.32,0.8,Delinquent,5,182291.6666666667,100.0,0.0813953578472137,0.2319576491912206,0.2711970110734303,0,0.11805621528071542,High variance in credit_score
100050465903,2009-07-01,302055.0109449681,0.0559338338223853,360,710,0.54,0.74,Default,2,382716.049382716,100.0,0.4096405307451884,0.230641022324562,0.2437680413325627,0,0.2058902805164906,High variance in dti
100039488159,2009-07-01,155232.04993735763,0.0401212809342326,180,795,0.36,0.62,Default,5,143518.5185185185,100.0,0.4103535413742065,0.2286243140697479,0.2437680413325627,0,0.30097664412743574,High variance in term_months
102458150755,2009-07-01,147493.05682462887,0.0438804552510541,360,754,0.29,0.71,Default,2,170114.94252873564,100.0,0.4096405307451884,0.1304619262615839,0.2983134984970093,0,0.08240243301377248,High variance in interest_rate
102218329006,2009-07-01,101244.96657110871,0.0406259071115216,360,728,0.32,0.74,Default,2,105208.33333333334,100.0,0.4096405307451884,0.210382267832756,0.2437680413325627,0,0.06604613443919183,High variance in interest_rate
101812620634,2009-07-01,278243.6872114919,0.0423521151663214,360,737,0.4,0.89,Delinquent,1,231666.66666666663,100.0,0.2464978098869323,0.2319576491912206,0.2711970110734303,0,0.3685157532285104,High variance in ltv
100829595540,2009-07-01,174177.77960443357,0.0495456288433417,360,666,0.32,0.8,Default,5,182291.6666666667,100.0,0.4096405307451884,0.1292908787727356,0.2580308665831883,0,0.3921794023476266,High variance in credit_score
100050465903,2009-07-01,302055.0109449681,0.0633273722223128,360,710,0.54,0.74,Delinquent,2,382716.049382716,100.0,0.2464978098869323,0.2339743574460347,0.2437680413325627,0,0.7001565445215003,High variance in dti
100039488159,2009-07-01,154678.61415834702,0.0486634549197275,180,795,0.36,0.62,Current,5,143518.5185185185,100.0,0.2464978098869323,0.221842274069786,0.2580308665831883,0,0.30747183870535744,High variance in term_months
102458150755,2009-07-01,147852.94261849785,0.0461129874120652,360,754,0.29,0.71,Default,2,170114.94252873564,100.0,0.4096405307451884,0.2041798730691274,0.2569341858228047,0,0.08006034474895585,High variance in employment_length_years
102218329006,2009-07-01,101975.11973341776,0.0488957781866282,360,728,0.32,0.74,Delinquent,2,105208.33333333334,100.0,0.2464978098869323,0.2319576491912206,0.2711970110734303,0,0.1404113873246401,High variance in loan_amount
101812620634,2009-07-01,277322.83828848787,0.0402370819788108,360,737,0.4,0.89,Default,1,231666.66666666663,100.0,0.3124183118343353,0.2111243158578872,0.2580308665831883,0,0.46185656412071263,High variance in ltv
100829595540,2009-07-01,175075.80455819372,0.0607912637785723,360,666,0.32,0.8,Current,5,182291.6666666667,100.0,0.2464978098869323,0.2111243158578872,0.2903541028499603,0,0.08283005372347807,High variance in credit_score
