Feature,Mean_Abs_SHAP
orig_upb,6.254405
remaining_months_to_maturity,0.409251
loan_age,0.12902437
orig_interest_rate,0.0
current_interest_rate,0.0
orig_loan_term,0.0
orig_ltv,0.0
dti,0.0
borrower_credit_score,0.0
interest_rate_diff,0.0
credit_score_band,0.0
ltv_band,0.0
dti_band,0.0
dpd,0.0
hist_delinquent_flag,0.0
dpd_rolling_3m_max,0.0
dpd_rolling_6m_max,0.0
max_hist_dpd,0.0
cum_delinquency_months,0.0
is_modified,0.0
cum_modifications,0.0
status_transitions,0.0
vintage_year,0.0
servicer_code,0.0
missing_dti,0.0
missing_ltv,0.0
missing_credit,0.0
data_quality_score,0.0
risk_interaction_ltv_dti,0.0
risk_interaction_cs_ltv,0.0
