loan_id,reporting_period,dq_score
100023020488,82009,100
100023020488,92009,100
100023020488,102009,100
100023020488,112009,100
100023020488,122009,100
100023020488,12010,100
100023020488,22010,100
100023020488,32010,100
100023020488,42010,100
100023020488,52010,100
100023020488,62010,100
100023020488,72010,100
100023020488,82010,100
100023020488,92010,100
100023020488,102010,100
100023020488,112010,100
100023020488,122010,100
100023020488,12011,100
100023020488,22011,100
100023020488,32011,100
100023020488,42011,100
100023020488,52011,100
100023020488,62011,100
100023020488,72011,100
100023020488,82011,100
100023020488,92011,100
100023020488,102011,100
100023020488,112011,100
100023020488,122011,100
100023020488,12012,100
100023020488,22012,100
100023020488,32012,100
100023020488,42012,100
100023020488,52012,100
100023020488,62012,100
100023020488,72012,100
100023020488,82012,100
100023020488,92012,100
100023020488,102012,100
100023020488,112012,100
100023020488,122012,100
100023020488,12013,100
100023020488,22013,100
100023020488,32013,100
100023020488,42013,100
100023020488,52013,100
100023020488,62013,100
100023020488,72013,100
100023020488,82013,100
100023020488,92013,100
100023020488,102013,100
100023020488,112013,100
100023020488,122013,100
100023020488,12014,100
100023020488,22014,100
100023020488,32014,100
100023020488,42014,100
100023020488,52014,100
100023020488,62014,100
100023020488,72014,100
100023020488,82014,100
100023020488,92014,100
100023020488,102014,100
100023020488,112014,100
100023020488,122014,100
100023020488,12015,100
100023020488,22015,100
100023020488,32015,100
100023020488,42015,100
100023020488,52015,100
100023020488,62015,100
100023020488,72015,100
100023020488,82015,100
100023020488,92015,100
100023020488,102015,100
100023020488,112015,100
100023020488,122015,100
100023020488,12016,100
100023020488,22016,100
100023020488,32016,100
100023020488,42016,100
100023020488,52016,100
100023020488,62016,100
100023020488,72016,100
100023020488,82016,100
100023020488,92016,100
100023020488,102016,100
100023020488,112016,100
100023020488,122016,100
100023020488,12017,100
100023020488,22017,100
100023020488,32017,100
100023020488,42017,100
100023020488,52017,100
100023020488,62017,100
100023020488,72017,100
100023020488,82017,100
100023020488,92017,100
100023020488,102017,100
100023020488,112017,100
100023020488,122017,100
100023020488,12018,100
100023020488,22018,100
100023020488,32018,100
100023020488,42018,100
100023020488,52018,100
100023020488,62018,100
100023020488,72018,100
100023020488,82018,100
100023020488,92018,100
100023020488,102018,100
100023020488,112018,100
100023020488,122018,100
100023020488,12019,100
100023020488,22019,100
100023020488,32019,100
100023020488,42019,100
100023020488,52019,100
100023020488,62019,100
100023020488,72019,100
100023020488,82019,100
100023020488,92019,100
100023020488,102019,100
100023020488,112019,100
100023020488,122019,100
100023020488,12020,100
100023020488,22020,100
100023020488,32020,100
100023020488,42020,100
100023020488,52020,100
100023020488,62020,100
100039488159,82009,100
100039488159,92009,100
100039488159,102009,100
100039488159,112009,100
100039488159,122009,100
100039488159,12010,100
100039488159,22010,100
100039488159,32010,100
100039488159,42010,100
100039488159,52010,100
100039488159,62010,100
100039488159,72010,100
100039488159,82010,100
100039488159,92010,100
100039488159,102010,100
100039488159,112010,100
100039488159,122010,100
100039488159,12011,100
100039488159,22011,100
100039488159,32011,100
100039488159,42011,100
100039488159,52011,100
100039488159,62011,100
100039488159,72011,100
100039488159,82011,100
100039488159,92011,100
100039488159,102011,100
100039488159,112011,100
100039488159,122011,100
100039488159,12012,100
100039488159,22012,100
100039488159,32012,100
100039488159,42012,100
100039488159,52012,100
100039488159,62012,100
100039488159,72012,100
100039488159,82012,100
100039488159,92012,100
100039488159,102012,100
100039488159,112012,100
100039488159,122012,100
100039488159,12013,100
100039488159,22013,100
100039488159,32013,100
100039488159,42013,100
100039488159,52013,100
100039488159,62013,100
100039488159,72013,100
100039488159,82013,100
100039488159,92013,100
100039488159,102013,100
100039488159,112013,100
100039488159,122013,100
100039488159,12014,100
100039488159,22014,100
100039488159,32014,100
100039488159,42014,100
100039488159,52014,100
100039488159,62014,100
100039488159,72014,100
100039488159,82014,100
100039488159,92014,100
100039488159,102014,100
100039488159,112014,100
100039488159,122014,100
100039488159,12015,100
100039488159,22015,100
100039488159,32015,100
100039488159,42015,100
100039488159,52015,100
100039488159,62015,100
100039488159,72015,100
100039488159,82015,100
100039488159,92015,100
100039488159,102015,100
100039488159,112015,100
100039488159,122015,100
100039488159,12016,100
100039488159,22016,100
100039488159,32016,100
100039488159,42016,100
100039488159,52016,100
100039488159,62016,100
100039488159,72016,100
100039488159,82016,100
100039488159,92016,100
100039488159,102016,100
100039488159,112016,100
100039488159,122016,100
100039488159,12017,100
100039488159,22017,100
100039488159,32017,100
100039488159,42017,100
100039488159,52017,100
100039488159,62017,100
100039488159,72017,100
100039488159,82017,100
100039488159,92017,100
100039488159,102017,100
100039488159,112017,100
100039488159,122017,100
100039488159,12018,100
100039488159,22018,100
100039488159,32018,100
100039488159,42018,100
100039488159,52018,100
100039488159,62018,100
100039488159,72018,100
100039488159,82018,100
100039488159,92018,100
100039488159,102018,100
100039488159,112018,100
100039488159,122018,100
100039488159,12019,100
100039488159,22019,100
100039488159,32019,100
100039488159,42019,100
100039488159,52019,100
100039488159,62019,100
100039488159,72019,100
100039488159,82019,100
100039488159,92019,100
100039488159,102019,100
100039488159,112019,100
100039488159,122019,100
100039488159,12020,100
100039488159,22020,100
100039488159,32020,100
100039488159,42020,100
100039488159,52020,100
100050465903,82009,100
100050465903,92009,100
100050465903,102009,100
100050465903,112009,100
100050465903,122009,100
100050465903,12010,100
100050465903,22010,100
100050465903,32010,100
100050465903,42010,100
100050465903,52010,100
100050465903,62010,100
100050465903,72010,100
100050465903,82010,100
100050465903,92010,100
100050465903,102010,100
100050465903,112010,100
100050465903,122010,100
100050465903,12011,100
100050465903,22011,100
100050465903,32011,100
100050465903,42011,100
100050465903,52011,100
100050465903,62011,100
100050465903,72011,100
100050465903,82011,100
100050465903,92011,100
100050465903,102011,100
100050465903,112011,100
100050465903,122011,100
100050465903,12012,100
100050465903,22012,100
100050465903,32012,100
100050465903,42012,100
100050465903,52012,100
100050465903,62012,100
100352555665,92009,100
100352555665,102009,100
100352555665,112009,100
100352555665,122009,100
100352555665,12010,100
100352555665,22010,100
100352555665,32010,100
100352555665,42010,100
100352555665,52010,100
100352555665,62010,100
100352555665,72010,100
100352555665,82010,100
100352555665,92010,100
100352555665,102010,100
100352555665,112010,100
100352555665,122010,100
100352555665,12011,100
100352555665,22011,100
100352555665,32011,100
100352555665,42011,100
100352555665,52011,100
100352555665,62011,100
100352555665,72011,100
100352555665,82011,100
100352555665,92011,100
100352555665,102011,100
100352555665,112011,100
100352555665,122011,100
100352555665,12012,100
100352555665,22012,100
100352555665,32012,100
100352555665,42012,100
100352555665,52012,100
100352555665,62012,100
100352555665,72012,100
100352555665,82012,100
100352555665,92012,100
100352555665,102012,100
100352555665,112012,100
100352555665,122012,100
100352555665,12013,100
100352555665,22013,100
100352555665,32013,100
100352555665,42013,100
100352555665,52013,100
100352555665,62013,100
100352555665,72013,100
100352555665,82013,100
100352555665,92013,100
100352555665,102013,100
100829595540,72009,100
100829595540,82009,100
100829595540,92009,100
100829595540,102009,100
100829595540,112009,100
100829595540,122009,100
100829595540,12010,100
100829595540,22010,100
100829595540,32010,100
100829595540,42010,100
100829595540,52010,100
100829595540,62010,100
100829595540,72010,100
100829595540,82010,100
100829595540,92010,100
100829595540,102010,100
100829595540,112010,100
100829595540,122010,100
100829595540,12011,100
100829595540,22011,100
100829595540,32011,100
100829595540,42011,100
100829595540,52011,100
100829595540,62011,100
100829595540,72011,100
100829595540,82011,100
100829595540,92011,100
100829595540,102011,100
100829595540,112011,100
100829595540,122011,100
100829595540,12012,100
100829595540,22012,100
100829595540,32012,100
100829595540,42012,100
100829595540,52012,100
100829595540,62012,100
100829595540,72012,100
100829595540,82012,100
100829595540,92012,100
100829595540,102012,100
100829595540,112012,100
100829595540,122012,100
100829595540,12013,100
100829595540,22013,100
100829595540,32013,100
100829595540,42013,100
100829595540,52013,100
100829595540,62013,100
100829595540,72013,100
100829595540,82013,100
100829595540,92013,100
100829595540,102013,100
100829595540,112013,100
100829595540,122013,100
100829595540,12014,100
100829595540,22014,100
100829595540,32014,100
100829595540,42014,100
100829595540,52014,100
100829595540,62014,100
100829595540,72014,100
100829595540,82014,100
100829595540,92014,100
100829595540,102014,100
100829595540,112014,100
100829595540,122014,100
100829595540,12015,100
100829595540,22015,100
100829595540,32015,100
100829595540,42015,100
100829595540,52015,100
100829595540,62015,100
100829595540,72015,100
100829595540,82015,100
100829595540,92015,100
100829595540,102015,100
100829595540,112015,100
100829595540,122015,100
100829595540,12016,100
100829595540,22016,100
100829595540,32016,100
100829595540,42016,100
100829595540,52016,100
100829595540,62016,100
100829595540,72016,100
100829595540,82016,100
100829595540,92016,100
100829595540,102016,100
100829595540,112016,100
100829595540,122016,100
100829595540,12017,100
100829595540,22017,100
100829595540,32017,100
100829595540,42017,100
100829595540,52017,100
100829595540,62017,100
100829595540,72017,100
100829595540,82017,100
100829595540,92017,100
100829595540,102017,100
100829595540,112017,100
100829595540,122017,100
100829595540,12018,100
100829595540,22018,100
100829595540,32018,100
100829595540,42018,100
100829595540,52018,100
100829595540,62018,100
100829595540,72018,100
100829595540,82018,100
100829595540,92018,100
100829595540,102018,100
101812620634,82009,100
101812620634,92009,100
101812620634,102009,100
101812620634,112009,100
101812620634,122009,100
101812620634,12010,100
101812620634,22010,100
101812620634,32010,100
101812620634,42010,100
101812620634,52010,100
101812620634,62010,100
101812620634,72010,100
101812620634,82010,100
101812620634,92010,100
101812620634,102010,100
101812620634,112010,100
101812620634,122010,100
101812620634,12011,100
101812620634,22011,100
101812620634,32011,100
101812620634,42011,100
101812620634,52011,100
101812620634,62011,100
101812620634,72011,100
101812620634,82011,100
101812620634,92011,100
101812620634,102011,100
101812620634,112011,100
101812620634,122011,100
101812620634,12012,100
101812620634,22012,100
101812620634,32012,100
101812620634,42012,100
101812620634,52012,100
101812620634,62012,100
101812620634,72012,100
101812620634,82012,100
101812620634,92012,100
102218329006,82009,100
102218329006,92009,100
102218329006,102009,100
102218329006,112009,100
102218329006,122009,100
102218329006,12010,100
102218329006,22010,100
102218329006,32010,100
102218329006,42010,100
102218329006,52010,100
102218329006,62010,100
102218329006,72010,100
102218329006,82010,100
102218329006,92010,100
102218329006,102010,100
102218329006,112010,100
102218329006,122010,100
102218329006,12011,100
102218329006,22011,100
102218329006,32011,100
102218329006,42011,100
102218329006,52011,100
102218329006,62011,100
102218329006,72011,100
102218329006,82011,100
102218329006,92011,100
102218329006,102011,100
102218329006,112011,100
102218329006,122011,100
102218329006,12012,100
102218329006,22012,100
102218329006,32012,100
102218329006,42012,100
102218329006,52012,100
102218329006,62012,100
102218329006,72012,100
102218329006,82012,100
102218329006,92012,100
102218329006,102012,100
102218329006,112012,100
102218329006,122012,100
102218329006,12013,100
102218329006,22013,100
102218329006,32013,100
102218329006,42013,100
102218329006,52013,100
102218329006,62013,100
102218329006,72013,100
102218329006,82013,100
102218329006,92013,100
102218329006,102013,100
102218329006,112013,100
102218329006,122013,100
102218329006,12014,100
102218329006,22014,100
102218329006,32014,100
102218329006,42014,100
102218329006,52014,100
102218329006,62014,100
102218329006,72014,100
102218329006,82014,100
102218329006,92014,100
102218329006,102014,100
102218329006,112014,100
102218329006,122014,100
102218329006,12015,100
102218329006,22015,100
102218329006,32015,100
102218329006,42015,100
102218329006,52015,100
102218329006,62015,100
102218329006,72015,100
102218329006,82015,100
102218329006,92015,100
102218329006,102015,100
102218329006,112015,100
102218329006,122015,100
102218329006,12016,100
102218329006,22016,100
102218329006,32016,100
102218329006,42016,100
102218329006,52016,100
102218329006,62016,100
102218329006,72016,100
102218329006,82016,100
102218329006,92016,100
102218329006,102016,100
102218329006,112016,100
102218329006,122016,100
102218329006,12017,100
102218329006,22017,100
102218329006,32017,100
102218329006,42017,100
102218329006,52017,100
102218329006,62017,100
102218329006,72017,100
102218329006,82017,100
102218329006,92017,100
