column,dtype,unique_values,missing_count,missing_percentage,mean,median,std_dev,min,max,q25,q75
0,float64,0,757,100.0,,,,,,,
loan_id,int64,8,0,0.0,101056140313.02641,100829595540.0,1025019319.8601214,100023020488.0,102458150755.0,100039488159.0,102218329006.0
reporting_period,int64,132,0,0.0,67205.35931307793,72010.0,34604.25581432602,12010.0,122019.0,42010.0,102009.0
3,object,2,0,0.0,,,,,,,
4,object,4,0,0.0,,,,,,,
5,object,5,5,0.6605019815059445,,,,,,,
6,float64,0,757,100.0,,,,,,,
orig_interest_rate,float64,6,0,0.0,4.863606340819023,4.375,0.5855384677443644,4.375,5.875,4.375,5.375
current_interest_rate,float64,7,5,0.6605019815059445,4.712765957446808,4.375,0.5458214308411926,4.0,5.875,4.375,5.375
orig_upb,float64,8,0,0.0,158441.21532364597,148000.0,114330.22482979795,55000.0,620000.0,101000.0,165000.0
current_upb,float64,0,757,100.0,,,,,,,
11,float64,580,0,0.0,125811.60031704095,104533.33,113963.60115139237,0.0,615881.26,51604.9,161950.86
orig_loan_term,int64,3,0,0.0,308.3223249669749,360.0,73.43399794268754,180.0,360.0,240.0,360.0
origination_date,int64,3,0,0.0,75060.51915455746,72009.0,5870.177380409943,72009.0,92009.0,72009.0,72009.0
first_payment_date,int64,3,0,0.0,95060.51915455746,92009.0,5870.177380409943,92009.0,112009.0,92009.0,92009.0
loan_age,float64,132,5,0.6605019815059445,55.875,50.5,37.695186658295356,-1.0,130.0,23.0,88.0
16,float64,372,5,0.6605019815059445,272.31117021276594,297.5,107.92061481828488,52.0,480.0,175.0,343.0
17,float64,303,87,11.492734478203435,245.48208955223882,271.0,100.63506333138044,4.0,360.0,161.25,340.0
18,float64,6,5,0.6605019815059445,85613.47207446808,82039.0,6433.193489906858,82024.0,102058.0,82039.0,92029.0
orig_ltv,int64,7,0,0.0,69.84280052840158,71.0,9.395082952324472,55.0,89.0,62.0,75.0
20,int64,8,0,0.0,71.78467635402906,71.0,11.742266522112828,55.0,90.0,62.0,75.0
21,int64,3,0,0.0,1.7093791281373845,2.0,0.7418547186154733,1.0,3.0,1.0,2.0
