Segment_Type,Segment_Value,Scenario,Target,Absolute_Change
credit_score_band,1.0,Adverse Credit,next_3m_delinquency_flag,0.0
credit_score_band,2.0,Adverse Credit,next_3m_delinquency_flag,0.0
credit_score_band,3.0,Adverse Credit,next_3m_delinquency_flag,4.337453898393875e-05
credit_score_band,1.0,High Prepayment,next_3m_delinquency_flag,0.0
credit_score_band,2.0,High Prepayment,next_3m_delinquency_flag,0.0
credit_score_band,3.0,High Prepayment,next_3m_delinquency_flag,0.0
credit_score_band,1.0,Adverse Credit,next_12m_default_flag,0.0
credit_score_band,2.0,Adverse Credit,next_12m_default_flag,0.0
credit_score_band,3.0,Adverse Credit,next_12m_default_flag,-9.54301465513571e-06
credit_score_band,1.0,High Prepayment,next_12m_default_flag,0.0
credit_score_band,2.0,High Prepayment,next_12m_default_flag,0.0
credit_score_band,3.0,High Prepayment,next_12m_default_flag,0.0
credit_score_band,1.0,Adverse Credit,next_12m_prepayment_flag,0.0
credit_score_band,2.0,Adverse Credit,next_12m_prepayment_flag,0.0
credit_score_band,3.0,Adverse Credit,next_12m_prepayment_flag,0.0
credit_score_band,1.0,High Prepayment,next_12m_prepayment_flag,0.0
credit_score_band,2.0,High Prepayment,next_12m_prepayment_flag,0.0
credit_score_band,3.0,High Prepayment,next_12m_prepayment_flag,0.0
ltv_band,0.0,Adverse Credit,next_3m_delinquency_flag,0.0
ltv_band,1.0,Adverse Credit,next_3m_delinquency_flag,2.6423569725847473e-05
ltv_band,0.0,High Prepayment,next_3m_delinquency_flag,0.0
ltv_band,1.0,High Prepayment,next_3m_delinquency_flag,0.0
ltv_band,0.0,Adverse Credit,next_12m_default_flag,0.0
ltv_band,1.0,Adverse Credit,next_12m_default_flag,-5.813560651983518e-06
ltv_band,0.0,High Prepayment,next_12m_default_flag,0.0
ltv_band,1.0,High Prepayment,next_12m_default_flag,0.0
ltv_band,0.0,Adverse Credit,next_12m_prepayment_flag,0.0
ltv_band,1.0,Adverse Credit,next_12m_prepayment_flag,0.0
ltv_band,0.0,High Prepayment,next_12m_prepayment_flag,0.0
ltv_band,1.0,High Prepayment,next_12m_prepayment_flag,0.0
vintage_year,2009,Adverse Credit,next_3m_delinquency_flag,2.0165355843412835e-05
vintage_year,2009,High Prepayment,next_3m_delinquency_flag,0.0
vintage_year,2009,Adverse Credit,next_12m_default_flag,-4.436664708090676e-06
vintage_year,2009,High Prepayment,next_12m_default_flag,0.0
vintage_year,2009,Adverse Credit,next_12m_prepayment_flag,0.0
vintage_year,2009,High Prepayment,next_12m_prepayment_flag,0.0
state,FL,Adverse Credit,next_3m_delinquency_flag,0.0
state,MN,Adverse Credit,next_3m_delinquency_flag,8.841732946725982e-05
state,OH,Adverse Credit,next_3m_delinquency_flag,0.0
state,PR,Adverse Credit,next_3m_delinquency_flag,0.0
state,TX,Adverse Credit,next_3m_delinquency_flag,0.0
state,FL,High Prepayment,next_3m_delinquency_flag,0.0
state,MN,High Prepayment,next_3m_delinquency_flag,0.0
state,OH,High Prepayment,next_3m_delinquency_flag,0.0
state,PR,High Prepayment,next_3m_delinquency_flag,0.0
state,TX,High Prepayment,next_3m_delinquency_flag,0.0
state,FL,Adverse Credit,next_12m_default_flag,0.0
state,MN,Adverse Credit,next_12m_default_flag,-1.9453068335468935e-05
state,OH,Adverse Credit,next_12m_default_flag,0.0
state,PR,Adverse Credit,next_12m_default_flag,0.0
state,TX,Adverse Credit,next_12m_default_flag,0.0
state,FL,High Prepayment,next_12m_default_flag,0.0
state,MN,High Prepayment,next_12m_default_flag,0.0
state,OH,High Prepayment,next_12m_default_flag,0.0
state,PR,High Prepayment,next_12m_default_flag,0.0
state,TX,High Prepayment,next_12m_default_flag,0.0
state,FL,Adverse Credit,next_12m_prepayment_flag,0.0
state,MN,Adverse Credit,next_12m_prepayment_flag,0.0
state,OH,Adverse Credit,next_12m_prepayment_flag,0.0
state,PR,Adverse Credit,next_12m_prepayment_flag,0.0
state,TX,Adverse Credit,next_12m_prepayment_flag,0.0
state,FL,High Prepayment,next_12m_prepayment_flag,0.0
state,MN,High Prepayment,next_12m_prepayment_flag,0.0
state,OH,High Prepayment,next_12m_prepayment_flag,0.0
state,PR,High Prepayment,next_12m_prepayment_flag,0.0
state,TX,High Prepayment,next_12m_prepayment_flag,0.0
servicer_code,1,Adverse Credit,next_3m_delinquency_flag,0.0
servicer_code,3,Adverse Credit,next_3m_delinquency_flag,4.3374538983939614e-05
servicer_code,1,High Prepayment,next_3m_delinquency_flag,0.0
servicer_code,3,High Prepayment,next_3m_delinquency_flag,0.0
servicer_code,1,Adverse Credit,next_12m_default_flag,0.0
servicer_code,3,Adverse Credit,next_12m_default_flag,-9.543014655125082e-06
servicer_code,1,High Prepayment,next_12m_default_flag,0.0
servicer_code,3,High Prepayment,next_12m_default_flag,0.0
servicer_code,1,Adverse Credit,next_12m_prepayment_flag,0.0
servicer_code,3,Adverse Credit,next_12m_prepayment_flag,0.0
servicer_code,1,High Prepayment,next_12m_prepayment_flag,0.0
servicer_code,3,High Prepayment,next_12m_prepayment_flag,0.0
